split_method,depth,width,num_params,test/mae,test/rmse,test/r2
random,2,32,18595,45.16920852661133,71.5807113647461,0.8327755928039551
random,2,64,61763,38.42145538330078,64.44319152832031,0.8639582991600037
random,2,128,221827,35.99916458129883,63.40116882324219,0.8681621551513672
random,2,256,836867,36.4619026184082,63.130592346191406,0.8692110776901245
random,4,32,23077,42.85807800292969,69.01350402832031,0.844495952129364
random,4,64,78917,35.93193435668945,62.21059036254883,0.8729438781738281
random,4,128,288901,32.4959602355957,59.28293991088867,0.884606659412384
random,4,256,1102085,31.03159523010254,58.5325927734375,0.8873392939567566
random,8,32,32041,41.04213333129883,67.48251342773438,0.8510973453521729
random,8,64,113225,35.08284378051758,61.95003128051758,0.8740957975387573
random,8,128,423049,31.078170776367188,58.65879821777344,0.8867267370223999
random,8,256,1632521,29.66707992553711,57.93495559692383,0.889584481716156
random,16,32,49969,38.33211898803711,64.28218841552734,0.8646718859672546
random,16,64,181841,32.80884552001953,59.81013107299805,0.8823453187942505
